2022-04-03 13:17:31 status half-configured debian-archive-keyring:all 2019.1+deb10u1
2022-04-03 13:17:31 status installed debian-archive-keyring:all 2019.1+deb10u1
2022-04-03 13:17:31 configure libaudit-common:all 1:2.8.4-3 <none>
2022-04-03 13:17:31 status unpacked libaudit-common:all 1:2.8.4-3
2022-04-03 13:17:31 status half-configured libaudit-common:all 1:2.8.4-3
2022-04-03 13:17:31 status installed libaudit-common:all 1:2.8.4-3
2022-04-03 13:17:31 configure libsemanage-common:all 2.8-2 <none>
2022-04-03 13:17:31 status unpacked libsemanage-common:all 2.8-2
2022-04-03 13:17:31 status half-configured libsemanage-common:all 2.8-2
2022-04-03 13:17:31 status installed libsemanage-common:all 2.8-2
2022-04-03 13:17:31 configure ncurses-base:all 6.1+20181013-2+deb10u2 <none>
2022-04-03 13:17:31 status unpacked ncurses-base:all 6.1+20181013-2+deb10u2
2022-04-03 13:17:31 status half-configured ncurses-base:all 6.1+20181013-2+deb10u2
2022-04-03 13:17:31 status installed ncurses-base:all 6.1+20181013-2+deb10u2
2022-04-03 13:17:31 configure gcc-8-base:armel 8.3.0-6 <none>
2022-04-03 13:17:31 status unpacked gcc-8-base:armel 8.3.0-6
2022-04-03 13:17:31 status half-configured gcc-8-base:armel 8.3.0-6
2022-04-03 13:17:31 status installed gcc-8-base:armel 8.3.0-6
2022-04-03 13:17:31 configure libc6:armel 2.28-10+deb10u1 <none>
2022-04-03 13:17:31 status unpacked libc6:armel 2.28-10+deb10u1
2022-04-03 13:17:31 status half-configured libc6:armel 2.28-10+deb10u1
2022-04-03 13:17:32 status installed libc6:armel 2.28-10+deb10u1
2022-04-03 13:17:32 configure libudev1:armel 241-7~deb10u8 <none>
2022-04-03 13:17:32 status unpacked libudev1:armel 241-7~deb10u8
2022-04-03 13:17:32 status half-configured libudev1:armel 241-7~deb10u8
2022-04-03 13:17:32 status installed libudev1:armel 241-7~deb10u8
2022-04-03 13:17:32 configure libsepol1:armel 2.8-1 <none>
2022-04-03 13:17:32 status unpacked libsepol1:armel 2.8-1
2022-04-03 13:17:32 status half-configured libsepol1:armel 2.8-1
2022-04-03 13:17:32 status installed libsepol1:armel 2.8-1
2022-04-03 13:17:32 configure libattr1:armel 1:2.4.48-4 <none>
2022-04-03 13:17:32 status unpacked libattr1:armel 1:2.4.48-4
2022-04-03 13:17:32 status half-configured libattr1:armel 1:2.4.48-4
2022-04-03 13:17:32 status installed libattr1:armel 1:2.4.48-4
2022-04-03 13:17:32 configure libtasn1-6:armel 4.13-3 <none>
2022-04-03 13:17:32 status unpacked libtasn1-6:armel 4.13-3
2022-04-03 13:17:32 status half-configured libtasn1-6:armel 4.13-3
2022-04-03 13:17:32 status installed libtasn1-6:armel 4.13-3
2022-04-03 13:17:32 configure debianutils:armel 4.8.6.1 <none>
2022-04-03 13:17:32 status unpacked debianutils:armel 4.8.6.1
2022-04-03 13:17:32 status half-configured debianutils:armel 4.8.6.1
2022-04-03 13:17:32 status installed debianutils:armel 4.8.6.1
2022-04-03 13:17:32 configure mawk:armel 1.3.3-17+b3 <none>
2022-04-03 13:17:32 status unpacked mawk:armel 1.3.3-17+b3
2022-04-03 13:17:32 status half-configured mawk:armel 1.3.3-17+b3
2022-04-03 13:17:32 status installed mawk:armel 1.3.3-17+b3
2022-04-03 13:17:32 configure libdebconfclient0:armel 0.249 <none>
2022-04-03 13:17:32 status unpacked libdebconfclient0:armel 0.249
2022-04-03 13:17:32 status half-configured libdebconfclient0:armel 0.249
2022-04-03 13:17:32 status installed libdebconfclient0:armel 0.249
2022-04-03 13:17:32 configure base-files:armel 10.3+deb10u12 <none>
2022-04-03 13:17:32 status unpacked base-files:armel 10.3+deb10u12
2022-04-03 13:17:32 status half-configured base-files:armel 10.3+deb10u12
2022-04-03 13:17:32 status installed base-files:armel 10.3+deb10u12
2022-04-03 13:17:32 configure libbz2-1.0:armel 1.0.6-9.2~deb10u1 <none>
2022-04-03 13:17:32 status unpacked libbz2-1.0:armel 1.0.6-9.2~deb10u1
2022-04-03 13:17:32 status half-configured libbz2-1.0:armel 1.0.6-9.2~deb10u1
2022-04-03 13:17:32 status installed libbz2-1.0:armel 1.0.6-9.2~deb10u1
2022-04-03 13:17:32 configure base-passwd:armel 3.5.46 <none>
2022-04-03 13:17:32 status unpacked base-passwd:armel 3.5.46
2022-04-03 13:17:32 status half-configured base-passwd:armel 3.5.46
2022-04-03 13:17:32 status installed base-passwd:armel 3.5.46
2022-04-03 13:17:32 configure libdb5.3:armel 5.3.28+dfsg1-0.5 <none>
